评论,地区,日期,点赞,情绪
现在我理解了,重庆,Thu May 15 14:38:18 +0800 2025,885,happiness
可是我不会要求别人背我的朋友圈[微笑],四川 成都,Thu May 15 14:41:51 +0800 2025,2631,happiness
是的[泪],河北 唐山,Mon Jun 02 19:00:41 +0800 2025,0,sadness
李白没说过没要求过让我们背他的诗吧,广西 钦州,Mon Jun 02 12:36:36 +0800 2025,0,like
你把古人的诗词当作朋友圈的精品文案是不是就能理解了[馋嘴]网友疯传,其他,Sat May 31 14:35:39 +0800 2025,1,like
我喜欢回头，看你在我背后努力的样子[笑cry],其他,Fri May 30 13:23:39 +0800 2025,1,like
你也是莫名其妙，李白让你背的他的诗是吧[微笑]按你这说法李白可不会写出像你朋友圈那样没内涵的东西[爱慕],江西,Thu May 29 01:05:44 +0800 2025,4,like
@番茄酱薯条不要薯条,广东,Tue May 27 20:02:46 +0800 2025,1,like
@j小小栗子,其他,Mon May 26 16:01:15 +0800 2025,0,happiness
你朋友圈也不值得背[允悲],广东,Sun May 25 04:33:09 +0800 2025,84,like
谁让李白不是乾隆[笑cry],其他,Sat May 24 22:49:16 +0800 2025,4,like
但你如果名垂青史了后来的人会要求背你的朋友圈[心],其他,Sat May 24 16:08:30 +0800 2025,66,like
回复@薄巧味水母:可是李白也不要求 我真的崩溃了谁要求的💣,其他,Thu May 22 17:55:36 +0800 2025,5,like
@特有的高级扑克牌 @面包梦游艺术家 @Lye_ss,上海,Thu May 22 17:37:11 +0800 2025,2,like
哈哈哈哈哈哈哈,北京,Thu May 22 14:22:28 +0800 2025,2,happiness
回复@又关你什么事呀:是老师要求的。。,其他,Thu May 22 08:54:55 +0800 2025,3,disgust
回复@又关你什么事呀:说到点子上了,江西 上饶,Thu May 22 07:24:30 +0800 2025,1,disgust
@karma_2e @七月有十七a,北京,Thu May 22 00:22:35 +0800 2025,0,happiness
[笑cry]庆幸李白走的慢吧，一生好入名山游，如果有高铁飞机，中国的名山大川名城小镇，每一处都得来一篇,海外,Thu May 15 14:42:29 +0800 2025,1393,like
高考文言文又得增加[允悲],湖南 衡阳,Fri May 23 15:29:17 +0800 2025,14,sadness
回复@监控人类「AI小助手」:他可能会被大家屏蔽[哈哈]。不但多，而且写的都比别人好。,广东,Thu May 15 17:56:15 +0800 2025,25,happiness
哈哈真的！李白要是打直球发朋友圈，诗仙变动态轰炸机了...[笑cry],重庆,Thu May 15 14:49:51 +0800 2025,491,happiness
玩就是踏马的开心,其他,Thu May 15 16:23:58 +0800 2025,378,happiness
[允悲],其他,Sat May 24 14:27:00 +0800 2025,0,happiness
回复@监控人类「AI小助手」:懂啊我的宝抱抱,其他,Thu May 15 16:36:47 +0800 2025,0,like
真的！出去玩就是要放飞自我啊[泪]！懂我一天二十条动态的快乐吗宝！[苦涩],重庆,Thu May 15 16:24:25 +0800 2025,65,sadness
心里阳光的朋友们，都是喜欢分享的[允悲][允悲]，特别佩服那些N年不发一条朋友圈的，城府好深的[允悲][允悲][允悲],湖南 长沙,Thu May 15 17:23:49 +0800 2025,112,like
回复@用户7643874543:感谢你还睬我一下[作揖],湖南 长沙,Fri May 30 10:53:40 +0800 2025,0,happiness
回复@hanhantongtong2010:可以啊，你发你的，别人可以选择看与不看,云南 昆明,Fri May 30 10:52:20 +0800 2025,1,like
回复@用户7643874543:你想看的时候就看，不想看的时候就不看，可以不[允悲],湖南 长沙,Fri May 30 10:51:10 +0800 2025,0,like
回复@hanhantongtong2010:那就发啊，想干嘛就干嘛，管别人干什么,云南 昆明,Fri May 30 10:50:04 +0800 2025,1,happiness
回复@hanhantongtong2010:微博有些sb们，实在看不惯就回一下[doge]，你也可以理解为回你消息也是一种社交,云南 昆明,Fri May 30 10:48:22 +0800 2025,0,like
回复@用户7643874543:你觉得没必要发，但是我喜欢发，怎么办呢[允悲],湖南 长沙,Fri May 30 10:47:56 +0800 2025,0,like
回复@hanhantongtong2010:目前我有几个朋友联系紧密的[笑cry]，所以感觉对朋友圈没啥兴趣，以后不一定了[笑cry],云南 昆明,Fri May 30 10:46:52 +0800 2025,0,disgust
回复@hanhantongtong2010:有些他们发了好几个月我才看见,云南 昆明,Fri May 30 10:45:55 +0800 2025,0,like
回复@hanhantongtong2010:我偶尔闲的时候会点进去看，只看我目前身边的同事朋友，不联系的朋友我想起来的时候才会看，我大二的时候就关了，因为感觉朋友圈看多了容易焦虑。,云南 昆明,Fri May 30 10:45:32 +0800 2025,0,like
回复@用户7643874543:你不看别人的朋友圈[疑问]你连微博评论都不放过的吧,湖南 长沙,Fri May 30 10:41:43 +0800 2025,0,disgust
而且我觉得那些事情有什么好发的[笑cry][笑cry][笑cry][笑cry],云南 昆明,Fri May 30 09:35:04 +0800 2025,1,like
我不想让别人知道我的生活 ，有错吗[允悲][允悲][允悲][允悲][允悲]，而且我也不看别人的朋友圈，我只私发给和我熟的3，4个朋友，有错吗？怎么就城府深了[抱抱][抱抱][抱抱][抱抱][抱抱][抱抱][泪][泪][泪][泪],云南 昆明,Fri May 30 09:34:18 +0800 2025,4,disgust
回复@磕的都真:可能是吧,湖南 长沙,Thu May 29 16:07:17 +0800 2025,0,disgust
你也是很有心机了但是无脑[可爱],其他,Thu May 29 13:12:34 +0800 2025,1,like
因为发朋友圈会招小人[泪]一发朋友圈生活突然会出点岔子 后来基本不敢发朋友圈了,上海 奉贤区,Wed May 28 15:31:51 +0800 2025,1,sadness
。什么刻板印象我服了大人,其他,Wed May 28 08:50:29 +0800 2025,1,disgust
可能纯纯因为懒[笑cry],山东 济南,Tue May 27 11:53:50 +0800 2025,3,like
回复@Moon08_light03:不亲近的人一般也就看一眼你咋样，说不定都懒得看,其他,Tue May 27 09:21:57 +0800 2025,0,like
你爱咋地咋地，好吧[允悲],湖南 长沙,Mon May 26 20:07:37 +0800 2025,8,like
不发朋友圈咋了，不能和朋友私信分享吗，你挺爱恶意揣测的哈,其他,Mon May 26 18:05:25 +0800 2025,4,happiness
我心情不好一天能发八百条微博,广东,Thu May 15 17:14:58 +0800 2025,80,sadness
真的懂！有时候情绪来了就忍不住，发它个几百条也正常，重要的是咱得舒坦啊[泪],重庆,Thu May 15 18:21:22 +0800 2025,18,like
李白写的是什么，你朋友圈写的是什么[doge],北京,Mon May 19 14:00:37 +0800 2025,51,disgust
不不不，靠自己哪里想得出那么多文案,广东 广州,Thu May 15 14:55:09 +0800 2025,17,like
@djeifhbsirufnfj,其他,Sat May 31 23:08:13 +0800 2025,1,happiness
噢。。,其他,Sat May 31 23:45:47 +0800 2025,0,like
@微型尾形,其他,Wed May 28 07:21:35 +0800 2025,1,happiness
好的,其他,Wed May 28 16:39:46 +0800 2025,0,happiness
@喝益菌因子吗 我是当代大诗人 我一天发八百条朋友圈,北京,Tue May 27 00:52:48 +0800 2025,1,like
你签售一下就有了,其他,Tue May 27 01:54:01 +0800 2025,0,like
写诗是文人必备技能，也是社交、求职甚至扬名的手段。李白的许多诗是即兴应酬之作（如赠友人的《赠汪伦》），或是为了展示才华（如面试时的《蜀道难》）[哈哈][哈哈],浙江,Thu May 15 19:49:34 +0800 2025,9,disgust
@艺术就是6,其他,Sat May 24 09:29:40 +0800 2025,0,like
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好有道理啊,其他,Sat May 24 09:31:09 +0800 2025,0,happiness
我不行了,广东 深圳,Fri May 23 23:43:38 +0800 2025,1,like
回复@玫瑰牌汤元:啊哈哈哈哈哈哈哈哈哈哈哈太生动了,其他,Sat May 24 12:51:48 +0800 2025,0,happiness
@imjaneorjayne_,广东 深圳,Fri May 23 23:43:43 +0800 2025,0,happiness
我笑死了,天津,Thu May 15 21:23:16 +0800 2025,0,happiness
哈哈宝！出去玩真的控制不住分享欲啊…这下李白附体了[苦涩][泪],重庆,Thu May 15 21:24:27 +0800 2025,2,happiness
@面包都炫我嘴里,台湾,Sun May 25 19:48:07 +0800 2025,0,happiness
草,海外,Sun May 25 23:29:27 +0800 2025,0,happiness
@橘子突然不酸了,湖南,Sun May 25 15:41:56 +0800 2025,0,like
[笑cry][笑cry],湖南,Sun May 25 16:38:22 +0800 2025,1,happiness
@俄克拉荷马的最后一只树獭 不会是我们吧（,其他,Tue May 20 15:27:14 +0800 2025,0,like
我们要发100条,海外,Tue May 20 16:18:16 +0800 2025,0,like
李白附体,浙江,Mon May 19 21:31:55 +0800 2025,4,happiness
@趣多多不爱吃甜,湖南,Fri May 16 11:38:42 +0800 2025,0,like
hhhhhhh 现在知道了[作揖],重庆 沙坪坝区,Fri May 16 13:26:55 +0800 2025,0,disgust
可能李白就是个话痨🙈,广东 深圳,Tue May 20 09:02:21 +0800 2025,4,sadness
@专业研究棒子鬼子三十年 @-雾都流星雨 不中了，我上个班也要发朋友圈[允悲],天津,Mon May 26 12:24:33 +0800 2025,0,like
现在我理解了,重庆,Thu May 15 14:38:18 +0800 2025,885,happiness
可是我不会要求别人背我的朋友圈[微笑],四川 成都,Thu May 15 14:41:51 +0800 2025,2631,happiness
是的[泪],河北 唐山,Mon Jun 02 19:00:41 +0800 2025,0,sadness
李白没说过没要求过让我们背他的诗吧,广西 钦州,Mon Jun 02 12:36:36 +0800 2025,0,like
你把古人的诗词当作朋友圈的精品文案是不是就能理解了[馋嘴]网友疯传,其他,Sat May 31 14:35:39 +0800 2025,1,like
我喜欢回头，看你在我背后努力的样子[笑cry],其他,Fri May 30 13:23:39 +0800 2025,1,like
你也是莫名其妙，李白让你背的他的诗是吧[微笑]按你这说法李白可不会写出像你朋友圈那样没内涵的东西[爱慕],江西,Thu May 29 01:05:44 +0800 2025,4,like
@番茄酱薯条不要薯条,广东,Tue May 27 20:02:46 +0800 2025,1,like
@j小小栗子,其他,Mon May 26 16:01:15 +0800 2025,0,happiness
你朋友圈也不值得背[允悲],广东,Sun May 25 04:33:09 +0800 2025,84,like
谁让李白不是乾隆[笑cry],其他,Sat May 24 22:49:16 +0800 2025,4,like
但你如果名垂青史了后来的人会要求背你的朋友圈[心],其他,Sat May 24 16:08:30 +0800 2025,66,like
回复@薄巧味水母:可是李白也不要求 我真的崩溃了谁要求的💣,其他,Thu May 22 17:55:36 +0800 2025,5,like
@特有的高级扑克牌 @面包梦游艺术家 @Lye_ss,上海,Thu May 22 17:37:11 +0800 2025,2,like
哈哈哈哈哈哈哈,北京,Thu May 22 14:22:28 +0800 2025,2,happiness
回复@又关你什么事呀:是老师要求的。。,其他,Thu May 22 08:54:55 +0800 2025,3,disgust
回复@又关你什么事呀:说到点子上了,江西 上饶,Thu May 22 07:24:30 +0800 2025,1,disgust
@karma_2e @七月有十七a,北京,Thu May 22 00:22:35 +0800 2025,0,happiness
[笑cry]庆幸李白走的慢吧，一生好入名山游，如果有高铁飞机，中国的名山大川名城小镇，每一处都得来一篇,海外,Thu May 15 14:42:29 +0800 2025,1393,like
高考文言文又得增加[允悲],湖南 衡阳,Fri May 23 15:29:17 +0800 2025,14,sadness
回复@监控人类「AI小助手」:他可能会被大家屏蔽[哈哈]。不但多，而且写的都比别人好。,广东,Thu May 15 17:56:15 +0800 2025,25,happiness
哈哈真的！李白要是打直球发朋友圈，诗仙变动态轰炸机了...[笑cry],重庆,Thu May 15 14:49:51 +0800 2025,491,happiness
玩就是踏马的开心,其他,Thu May 15 16:23:58 +0800 2025,378,happiness
[允悲],其他,Sat May 24 14:27:00 +0800 2025,0,happiness
回复@监控人类「AI小助手」:懂啊我的宝抱抱,其他,Thu May 15 16:36:47 +0800 2025,0,like
真的！出去玩就是要放飞自我啊[泪]！懂我一天二十条动态的快乐吗宝！[苦涩],重庆,Thu May 15 16:24:25 +0800 2025,65,sadness
心里阳光的朋友们，都是喜欢分享的[允悲][允悲]，特别佩服那些N年不发一条朋友圈的，城府好深的[允悲][允悲][允悲],湖南 长沙,Thu May 15 17:23:49 +0800 2025,112,like
回复@用户7643874543:感谢你还睬我一下[作揖],湖南 长沙,Fri May 30 10:53:40 +0800 2025,0,happiness
回复@hanhantongtong2010:可以啊，你发你的，别人可以选择看与不看,云南 昆明,Fri May 30 10:52:20 +0800 2025,1,like
回复@用户7643874543:你想看的时候就看，不想看的时候就不看，可以不[允悲],湖南 长沙,Fri May 30 10:51:10 +0800 2025,0,like
回复@hanhantongtong2010:那就发啊，想干嘛就干嘛，管别人干什么,云南 昆明,Fri May 30 10:50:04 +0800 2025,1,happiness
回复@hanhantongtong2010:微博有些sb们，实在看不惯就回一下[doge]，你也可以理解为回你消息也是一种社交,云南 昆明,Fri May 30 10:48:22 +0800 2025,0,like
回复@用户7643874543:你觉得没必要发，但是我喜欢发，怎么办呢[允悲],湖南 长沙,Fri May 30 10:47:56 +0800 2025,0,like
回复@hanhantongtong2010:目前我有几个朋友联系紧密的[笑cry]，所以感觉对朋友圈没啥兴趣，以后不一定了[笑cry],云南 昆明,Fri May 30 10:46:52 +0800 2025,0,disgust
回复@hanhantongtong2010:有些他们发了好几个月我才看见,云南 昆明,Fri May 30 10:45:55 +0800 2025,0,like
回复@hanhantongtong2010:我偶尔闲的时候会点进去看，只看我目前身边的同事朋友，不联系的朋友我想起来的时候才会看，我大二的时候就关了，因为感觉朋友圈看多了容易焦虑。,云南 昆明,Fri May 30 10:45:32 +0800 2025,0,like
回复@用户7643874543:你不看别人的朋友圈[疑问]你连微博评论都不放过的吧,湖南 长沙,Fri May 30 10:41:43 +0800 2025,0,disgust
而且我觉得那些事情有什么好发的[笑cry][笑cry][笑cry][笑cry],云南 昆明,Fri May 30 09:35:04 +0800 2025,1,like
我不想让别人知道我的生活 ，有错吗[允悲][允悲][允悲][允悲][允悲]，而且我也不看别人的朋友圈，我只私发给和我熟的3，4个朋友，有错吗？怎么就城府深了[抱抱][抱抱][抱抱][抱抱][抱抱][抱抱][泪][泪][泪][泪],云南 昆明,Fri May 30 09:34:18 +0800 2025,4,disgust
回复@磕的都真:可能是吧,湖南 长沙,Thu May 29 16:07:17 +0800 2025,0,disgust
你也是很有心机了但是无脑[可爱],其他,Thu May 29 13:12:34 +0800 2025,1,like
因为发朋友圈会招小人[泪]一发朋友圈生活突然会出点岔子 后来基本不敢发朋友圈了,上海 奉贤区,Wed May 28 15:31:51 +0800 2025,1,sadness
。什么刻板印象我服了大人,其他,Wed May 28 08:50:29 +0800 2025,1,disgust
可能纯纯因为懒[笑cry],山东 济南,Tue May 27 11:53:50 +0800 2025,3,like
回复@Moon08_light03:不亲近的人一般也就看一眼你咋样，说不定都懒得看,其他,Tue May 27 09:21:57 +0800 2025,0,like
你爱咋地咋地，好吧[允悲],湖南 长沙,Mon May 26 20:07:37 +0800 2025,8,like
不发朋友圈咋了，不能和朋友私信分享吗，你挺爱恶意揣测的哈,其他,Mon May 26 18:05:25 +0800 2025,4,happiness
我心情不好一天能发八百条微博,广东,Thu May 15 17:14:58 +0800 2025,80,sadness
真的懂！有时候情绪来了就忍不住，发它个几百条也正常，重要的是咱得舒坦啊[泪],重庆,Thu May 15 18:21:22 +0800 2025,18,like
李白写的是什么，你朋友圈写的是什么[doge],北京,Mon May 19 14:00:37 +0800 2025,51,disgust
不不不，靠自己哪里想得出那么多文案,广东 广州,Thu May 15 14:55:09 +0800 2025,17,like
@djeifhbsirufnfj,其他,Sat May 31 23:08:13 +0800 2025,1,happiness
噢。。,其他,Sat May 31 23:45:47 +0800 2025,0,like
@微型尾形,其他,Wed May 28 07:21:35 +0800 2025,1,happiness
好的,其他,Wed May 28 16:39:46 +0800 2025,0,happiness
@喝益菌因子吗 我是当代大诗人 我一天发八百条朋友圈,北京,Tue May 27 00:52:48 +0800 2025,1,like
你签售一下就有了,其他,Tue May 27 01:54:01 +0800 2025,0,like
写诗是文人必备技能，也是社交、求职甚至扬名的手段。李白的许多诗是即兴应酬之作（如赠友人的《赠汪伦》），或是为了展示才华（如面试时的《蜀道难》）[哈哈][哈哈],浙江,Thu May 15 19:49:34 +0800 2025,9,disgust
@艺术就是6,其他,Sat May 24 09:29:40 +0800 2025,0,like
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好有道理啊,其他,Sat May 24 09:31:09 +0800 2025,0,happiness
我不行了,广东 深圳,Fri May 23 23:43:38 +0800 2025,1,like
回复@玫瑰牌汤元:啊哈哈哈哈哈哈哈哈哈哈哈太生动了,其他,Sat May 24 12:51:48 +0800 2025,0,happiness
@imjaneorjayne_,广东 深圳,Fri May 23 23:43:43 +0800 2025,0,happiness
我笑死了,天津,Thu May 15 21:23:16 +0800 2025,0,happiness
哈哈宝！出去玩真的控制不住分享欲啊…这下李白附体了[苦涩][泪],重庆,Thu May 15 21:24:27 +0800 2025,2,happiness
@面包都炫我嘴里,台湾,Sun May 25 19:48:07 +0800 2025,0,happiness
草,海外,Sun May 25 23:29:27 +0800 2025,0,happiness
@橘子突然不酸了,湖南,Sun May 25 15:41:56 +0800 2025,0,like
[笑cry][笑cry],湖南,Sun May 25 16:38:22 +0800 2025,1,happiness
@俄克拉荷马的最后一只树獭 不会是我们吧（,其他,Tue May 20 15:27:14 +0800 2025,0,like
我们要发100条,海外,Tue May 20 16:18:16 +0800 2025,0,like
李白附体,浙江,Mon May 19 21:31:55 +0800 2025,4,happiness
@趣多多不爱吃甜,湖南,Fri May 16 11:38:42 +0800 2025,0,like
hhhhhhh 现在知道了[作揖],重庆 沙坪坝区,Fri May 16 13:26:55 +0800 2025,0,disgust
可能李白就是个话痨🙈,广东 深圳,Tue May 20 09:02:21 +0800 2025,4,sadness
@专业研究棒子鬼子三十年 @-雾都流星雨 不中了，我上个班也要发朋友圈[允悲],天津,Mon May 26 12:24:33 +0800 2025,0,like
笑死我了,天津,Mon May 26 12:29:33 +0800 2025,1,happiness
@桉_NAM94 @范東原_OTC @馋旻 @兔果旻旻咪 @KID白白 @QUANZXR @凛青Estella,其他,Wed May 21 22:48:21 +0800 2025,1,like
@凉拌煎饺OVo,其他,Mon May 19 14:24:48 +0800 2025,1,like
人之常情,其他,Mon May 19 18:19:39 +0800 2025,0,like
[哈哈][哈哈][哈哈][good][good][good]好的旅行真的能让人感觉人间值得[心],浙江,Thu May 15 15:14:59 +0800 2025,2,happiness
@狐狐_裴 原来这样啊。,山东 潍坊,Thu May 29 23:27:50 +0800 2025,0,like
还是精修,山东 潍坊,Fri May 30 12:31:41 +0800 2025,0,like
@似星辰又如风 哈哈哈哈哈原来如此,其他,Thu May 29 16:21:28 +0800 2025,0,happiness
咱是当代李白,江苏,Thu May 29 16:35:50 +0800 2025,0,happiness
@koyamaooiv_417 我大概就是这样,北京,Thu May 29 14:33:27 +0800 2025,0,like
我就这样两个号不停的发,河南,Thu May 29 18:17:05 +0800 2025,0,like
@你在干嘛吖ab,河北,Tue May 27 12:54:25 +0800 2025,0,like
对啊[爱你][爱你][爱你][爱你],北京,Tue May 27 12:55:47 +0800 2025,2,like
[允悲],其他,Tue May 27 09:20:19 +0800 2025,0,happiness
@大玺利,其他,Sun May 25 13:22:56 +0800 2025,0,happiness
不是诶,其他,Sun May 25 14:01:03 +0800 2025,0,happiness
李白也是很有生活了 是不是巨蟹座啊,其他,Sun May 25 14:00:45 +0800 2025,0,happiness
@楚瑾韵,其他,Sat May 24 16:38:29 +0800 2025,0,like
哈哈哈哈哈质疑李白，理解李白，成为李白，超越李白[doge],其他,Sat May 24 22:41:17 +0800 2025,1,happiness
@风信子种球爆破氺兔 笑死了,其他,Fri May 23 21:53:13 +0800 2025,0,happiness
[笑哈哈]很爽,其他,Sat May 24 14:16:14 +0800 2025,0,happiness
@渝州橙子皮,广东,Fri May 23 01:55:29 +0800 2025,0,like
😗😗😗,重庆,Fri May 23 01:58:52 +0800 2025,0,happiness
[淡淡的],安徽,Thu May 22 11:20:00 +0800 2025,0,happiness
@小哭TT,北京,Tue May 20 14:26:00 +0800 2025,0,like
是的是的,北京 朝阳区,Tue May 20 17:50:41 +0800 2025,1,happiness
不用出去玩都能日更三十[爱你]@碎芝士xyx,江西 南昌,Tue May 20 10:48:14 +0800 2025,0,like
哈哈哈哈,江西 南昌,Tue May 20 12:02:50 +0800 2025,0,happiness
@Hykee_ 我放古代也是个文豪[太开心],其他,Tue May 20 00:09:58 +0800 2025,1,like
还真是[笑而不语],江西,Tue May 20 00:14:45 +0800 2025,0,happiness
我也理解了,北京 顺义区,Mon May 19 21:29:13 +0800 2025,1,happiness
谁懂啊！突然就和李太白共情了，分享欲爆棚拦都拦不住...[允悲],重庆,Tue May 20 09:03:22 +0800 2025,1,like
@呼啦啦胡了吗,其他,Mon May 19 12:12:37 +0800 2025,0,like
哈哈哈[笑cry][嘻嘻],上海,Fri May 16 07:30:33 +0800 2025,0,happiness
心情上来了一天几十条微博,其他,Fri May 16 00:37:54 +0800 2025,1,happiness
@比撕裂身体还要痛苦 笑死我了,其他,Thu May 15 23:58:43 +0800 2025,0,like
现在懂了！出游发疯实录就是我本人[苦涩]！！,重庆,Fri May 16 07:31:20 +0800 2025,0,like
@小宁爱吃爱玩 哈哈哈哈哈哈,其他,Thu May 15 18:20:45 +0800 2025,0,happiness
哈哈宝,广东,Thu May 15 19:47:47 +0800 2025,1,happiness
理解了[思考],其他,Sat May 31 13:25:18 +0800 2025,0,like
我不行了,其他,Thu May 29 14:47:18 +0800 2025,0,like
@太把瑙残当人,浙江 杭州,Thu May 29 04:00:25 +0800 2025,1,like
